id,symbol,current_price,market_cap,total_volume,extracted_at
bitcoin,btc,121257.0,2416027519248,65533745273,2025-10-09 10:41:03.296433
ethereum,eth,4301.39,518733603819,42710502036,2025-10-09 10:41:03.296433
tether,usdt,1.0,178406381300,127933092410,2025-10-09 10:41:03.296433
binancecoin,bnb,1229.88,170842172584,6850047510,2025-10-09 10:41:03.296433
ripple,xrp,2.79,167249636260,5187315687,2025-10-09 10:41:03.296433
solana,sol,219.11,119563326999,8466758216,2025-10-09 10:41:03.296433
usd-coin,usdc,0.999709,75599984154,12607186429,2025-10-09 10:41:03.296433
dogecoin,doge,0.244133,36911389290,3095948144,2025-10-09 10:41:03.296433
staked-ether,steth,4300.64,36519079979,49492260,2025-10-09 10:41:03.296433
tron,trx,0.335087,31723246394,887179696,2025-10-09 10:41:03.296433
